Wall time,Step,Value
1505196179.047041,0,0.019619295373558998
1505201198.4557273,1,0.01814967393875122
1505206226.6221147,2,0.017663870006799698
1505211246.1896148,3,0.017565952613949776
1505216296.516215,4,0.01706257462501526
1505221341.2885375,5,0.01682356558740139
1505226420.6884801,6,0.016648361459374428
1505231471.5280318,7,0.016450166702270508
1505236678.4808052,8,0.016313860192894936
1505241860.4977398,9,0.016154302284121513
1505247049.2174563,10,0.015336597338318825
1505252235.7969716,11,0.015084472484886646
1505257491.742263,12,0.014945353381335735
1505262735.5674448,13,0.014869588427245617
1505268013.712655,14,0.014783297665417194
1505273250.8424518,15,0.014684589579701424
1505278574.4279106,16,0.014604944735765457
1505283894.381498,17,0.014543380588293076
1505289241.2054849,18,0.014468562789261341
1505294578.872938,19,0.014387909322977066
1505299925.323326,20,0.014171627350151539
1505305211.2710834,21,0.01412296574562788
1505310451.620027,22,0.014090850949287415
1505315659.815602,23,0.014074821025133133
1505320911.856081,24,0.014054759405553341
1505326171.9983022,25,0.014038234017789364
1505331333.666518,26,0.014019806869328022
1505336520.4562075,27,0.014016001485288143
1505341713.9136019,28,0.014001271687448025
1505346959.789758,29,0.013979383744299412
