Wall time,Step,Value
1505196194.7403715,0,1.1273863315582275
1505201213.8904643,1,1.0862780809402466
1505206233.0838933,2,1.0839741230010986
1505211261.4339018,3,0.9939818978309631
1505216301.4140854,4,1.0266450643539429
1505221346.3058655,5,1.0310189723968506
1505226425.5029492,6,1.0435516834259033
1505231476.3817747,7,0.9944847822189331
1505236683.4279811,8,0.9690201282501221
1505241865.421449,9,1.0198038816452026
1505247054.1311305,10,0.9486833214759827
1505252240.5447645,11,0.9565563201904297
1505257496.663112,12,0.9284395575523376
1505262740.458424,13,0.9338093996047974
1505268018.6194737,14,0.9295160174369812
1505273256.2630153,15,0.9137833714485168
1505278579.1644468,16,0.9154233932495117
1505283899.204433,17,0.92141193151474
1505289245.961921,18,0.9338093996047974
1505294583.6871662,19,0.9143303632736206
1505299930.2461495,20,0.9186947345733643
1505305216.356598,21,0.9197825789451599
1505310456.5138,22,0.9181503057479858
1505315664.7664943,23,0.9126883149147034
1505320916.8189049,24,0.9170604944229126
1505326176.8886335,25,0.9257429242134094
1505331338.5655851,26,0.9121403694152832
1505336525.3553731,27,0.9066421389579773
1505341718.633849,28,0.9011104106903076
1505346964.7643304,29,0.9104943871498108
