Wall time,Step,Value
1505312285.655101,0,0.01077580638229847
1505314553.134044,1,0.009959680028259754
1505316821.7115026,2,0.009683055803179741
1505319090.4111955,3,0.009478212334215641
1505321361.6776068,4,0.00931314192712307
1505323637.4513748,5,0.009198403917253017
1505325908.5076244,6,0.0090818852186203
1505328181.668274,7,0.008979215286672115
1505330455.308068,8,0.008882074616849422
1505332728.631609,9,0.008800352923572063
1505335007.1763384,10,0.008264643140137196
1505337291.5374348,11,0.008106954395771027
1505339573.9515185,12,0.008040455169975758
1505341852.4453626,13,0.007959341630339622
1505344134.6425464,14,0.007907728664577007
1505346412.670774,15,0.007848422043025494
1505348687.4452813,16,0.007805240340530872
1505350960.366986,17,0.007761108689010143
1505353234.1944137,18,0.007716737221926451
1505355511.9720488,19,0.007658971007913351
1505357792.9938161,20,0.007534651085734367
1505360065.4142935,21,0.007499768864363432
1505362342.9536028,22,0.007486352697014809
1505364616.1182184,23,0.007469705305993557
1505366893.590006,24,0.007453857455402613
1505369170.339338,25,0.0074385073967278
1505371449.5996761,26,0.007435918319970369
1505373734.804683,27,0.007418231572955847
1505376021.6872113,28,0.007417228538542986
1505378305.4810119,29,0.007404905743896961
