Wall time,Step,Value
1505312288.3835566,0,0.8988882303237915
1505314555.894516,1,0.9165151119232178
1505316824.6079128,2,0.8988882303237915
1505319093.195046,3,0.8549853563308716
1505321364.466501,4,0.9038805365562439
1505323640.1336346,5,0.8532291650772095
1505325911.2941976,6,0.8544003963470459
1505328184.6032903,7,0.874070942401886
1505330458.2384474,8,0.8514693379402161
1505332731.4467084,9,0.8173126578330994
1505335009.991079,10,0.8432081341743469
1505337294.3058078,11,0.837257444858551
1505339576.8702917,12,0.8209750056266785
1505341855.370561,13,0.7981228232383728
1505344137.5067284,14,0.8037412762641907
1505346415.5723188,15,0.8318653702735901
1505348690.2967343,16,0.837257444858551
1505350963.2978172,17,0.8124038577079773
1505353236.9973617,18,0.8105553388595581
1505355514.8425267,19,0.8012490272521973
1505357795.8172045,20,0.8185352683067322
1505360068.2446032,21,0.800000011920929
1505362345.843909,22,0.8068457245826721
1505364618.86857,23,0.7993747591972351
1505366896.3302948,24,0.8031189441680908
1505369173.2963462,25,0.8031189441680908
1505371452.5000758,26,0.8037412762641907
1505373737.5189114,27,0.8043631315231323
1505376024.6278663,28,0.8068457245826721
1505378308.4244246,29,0.8012490272521973
