Wall time,Step,Value
1528923120.6722782,0,0.810575544834137
1528923202.410189,1,0.98890221118927
1528923284.4288166,2,0.9940158724784851
1528923367.1805925,3,0.9957567453384399
1528923449.37413,4,0.9954302906990051
1528923531.0297544,5,0.99717116355896
1528923612.6795568,6,0.998041570186615
1528923694.2703562,7,0.9967359304428101
1528923775.0591128,8,0.9976063370704651
1528923855.7864304,9,0.997279942035675
1528923937.9779005,10,0.9981503486633301
1528924019.0835361,11,0.998041570186615
1528924100.8826466,12,0.998367965221405
1528924181.6164124,13,0.998367965221405
1528924264.0947776,14,0.9981503486633301
1528924346.9581923,15,0.998041570186615
1528924428.1646075,16,0.998367965221405
1528924510.187483,17,0.9984767436981201
1528924592.557082,18,0.99858558177948
1528924674.2919464,19,0.998041570186615
1528924755.9263496,20,0.9981503486633301
1528924838.0725863,21,0.99858558177948
1528924921.0392768,22,0.998367965221405
1528925003.7983298,23,0.9984767436981201
1528925085.855613,24,0.9984767436981201
1528925166.1973484,25,0.9982591867446899
1528925250.6712396,26,0.998367965221405
1528925333.4306335,27,0.9981503486633301
1528925414.8301873,28,0.9979327321052551
1528925496.5078251,29,0.9982591867446899
